コード,銘柄,業種,PBR,ROA%,余地,配当質,増配率%,両輪,自社株買い,前向き,会社予想増配%,累進年数,方針,方針点,統合スコア,フラグ
2915,2915 (東P)ケンコーマヨ,食料品,0.68,4.1,28,累進増配,55.8,○,自社株買い(大),17,4.5,4,★★★,6,57,
8085,8085 (東S)ナラサキ,卸売業,0.72,3.2,30,累進増配,8.3,○,自社株買い,15,7.7,16,★★★,6,56,
3513,3513 (東S)イチカワ,繊維製品,0.63,3.2,26,累進増配,12.5,○,自社株買い,18,11.1,5,★★☆,4,53,
7955,7955 (東P)クリナップ,その他製品,0.54,2.7,26,累進増配,6.5,○,自社株買い,20,21.2,11,★☆☆,2,53,
6091,6091 (東S)ウエスコＨＤ,サービス業,0.76,3.0,23,累進増配,9.1,○,自社株買い(大),20,16.7,13,★★☆,4,53,
7246,7246 (東P)プレス工,輸送用機器,0.65,4.2,22,累進増配,15.6,○,自社株買い,20,18.9,5,★★★,6,53,
7235,7235 (東S)東ラヂ,輸送用機器,0.6,4.4,30,累進増配,42.9,,なし,20,20.0,5,-,0,53,
7266,7266 (東S)今仙電機,輸送用機器,0.34,1.6,30,増配,35.0,○,自社株買い,16,18.5,2,★☆☆,2,52,
4761,4761 (東S)さくらＫＣＳ,情報・通信業,0.77,3.3,24,累進増配,71.9,○,自社株買い,19,12.7,6,★★☆,4,52,
2053,2053 (東P)中部飼,食料品,0.75,3.9,21,累進増配,25.0,○,自社株買い,20,16.9,17,★★★,6,52,
7279,7279 (東S)ハイレックス,輸送用機器,0.37,0.6,30,累進増配,16.3,○,自社株買い,14,-0.9,6,★☆☆,2,51,
4620,4620 (東S)藤倉化,化学,0.64,2.2,25,累進増配,11.1,○,自社株買い,18,10.0,16,★★☆,3,51,
9319,9319 (東P)中央倉,倉庫・運輸関連業,0.66,2.1,21,累進増配,5.6,○,自社株買い(大),20,10.5,7,★★☆,4,51,
9059,9059 (東S)カンダ,陸運業,0.69,4.8,28,累進増配,9.5,,なし,20,13.0,11,-,0,51,
1981,1981 (東S)協和日成,建設業,1.26,3.5,26,累進増配,19.0,○,自社株買い,14,4.0,4,★★★,5,50,
7239,7239 (東P)タチエス,輸送用機器,0.7,4.2,30,累進増配,1.2,,なし,17,9.5,5,-,0,50,
4093,4093 (東S)アセチレン,化学,0.77,3.5,28,累進増配,0.0,,なし,19,28.6,13,-,0,50,
7417,7417 (東S)南陽,卸売業,0.73,4.2,28,累進増配,17.2,○,自社株買い,12,-4.4,5,★★☆,4,49,
2108,2108 (東P)甜菜糖,食料品,0.78,0.0,23,累進増配,100.0,○,自社株買い(大),18,62.5,6,★☆☆,2,49,
2819,2819 (東S)エバラ食品,食料品,0.65,3.1,30,累進増配,4.4,,なし,16,6.4,10,-,0,49,
9955,9955 (東S)ヨンキュウ,卸売業,0.82,2.2,27,累進増配,25.0,,なし,19,36.0,16,-,0,49,
6118,6118 (東P)アイダ,機械,0.74,2.9,28,累進増配,5.4,○,自社株買い(大),10,0.0,5,★★☆,4,48,
